Predicate ID,Triple,Sentence ID,Sentence,Question,Label,Reference
26452786,Fenbendazole causes helminthiasis,101,Evaluation of granulated fenbendazole (22.2%) against induced and naturally occurring helminth infections in cats.,"Is the triple ""Fenbendazole causes helminthiasis"" supported by the sentence: ""Evaluation of granulated fenbendazole (22.2%) against induced and naturally occurring helminth infections in cats.""?",False,
22762728,Fenbendazole prevents helminthiasis,102,Fenbendazole resistance in O. ostertagi was confirmed with a total treatment failure in reducing worm burden: efficacy of 0%.,"Is the triple ""Fenbendazole prevents helminthiasis"" supported by the sentence: ""Fenbendazole resistance in O. ostertagi was confirmed with a total treatment failure in reducing worm burden: efficacy of 0%.""?",False,
21848143,Albendazole causes helminthiasis,103,Symptoms of perianal itching and visualization of visible motile worms persisted for 6 months despite being treated with multiple courses of albendazole causing a lot of frustration and distress to the caregivers.,"Is the triple ""Albendazole causes helminthiasis"" supported by the sentence: ""Symptoms of perianal itching and visualization of visible motile worms persisted for 6 months despite being treated with multiple courses of albendazole causing a lot of frustration and distress to the caregivers.""?",False,
25735916,Albendazole affects trichuriasis,104,"Ovicidal effects of albendazole in human ascariasis, ancylostomiasis and trichuriasis.","Is the triple ""Albendazole affects trichuriasis"" supported by the sentence: ""Ovicidal effects of albendazole in human ascariasis, ancylostomiasis and trichuriasis.""?",False,
24685635,Albendazole affects filarial elephantiasis,105,"A combination of drugs Ivermectin, Diethylcarbamazine citrate and Albendazole is recommended by WHO to accelerate the Global Programme to Eliminate Lymphatic Filariasis (GPELF).","Is the triple ""Albendazole affects filarial elephantiasis"" supported by the sentence: ""A combination of drugs Ivermectin, Diethylcarbamazine citrate and Albendazole is recommended by WHO to accelerate the Global Programme to Eliminate Lymphatic Filariasis (GPELF).""?",False,
18452252,Albendazole affects toxocariasis,106,Effect of albendazole in experimental toxocariasis of mice.,"Is the triple ""Albendazole affects toxocariasis"" supported by the sentence: ""Effect of albendazole in experimental toxocariasis of mice.""?",False,
16658505,Albendazole affects malaria,107,"Given the low helminth prevalence in our children, the effect of albendazole on malaria is likely to be direct.","Is the triple ""Albendazole affects malaria"" supported by the sentence: ""Given the low helminth prevalence in our children, the effect of albendazole on malaria is likely to be direct.""?",False,
13946207,Albendazole affects helminthiasis,108,"Mass co-administration of ivermectin and albendazole by the LFEP had a significant effect on STH, which was further amplified by treatment with praziquantel and albendazole 4 months later.","Is the triple ""Albendazole affects helminthiasis"" supported by the sentence: ""Mass co-administration of ivermectin and albendazole by the LFEP had a significant effect on STH, which was further amplified by treatment with praziquantel and albendazole 4 months later.""?",False,
11239060,Albendazole affects filariasis,109,The effect of single dose ivermectin alone or in combination with albendazole on Wuchereria bancrofti infection in primary school children in Tanzania.,"Is the triple ""Albendazole affects filariasis"" supported by the sentence: ""The effect of single dose ivermectin alone or in combination with albendazole on Wuchereria bancrofti infection in primary school children in Tanzania.""?",False,
24729219,Albendazole disrupts helminthiasis,110,"Additionally, compared with albendazole, it resulted in a significant reduction in adult worm and total larval counts; moreover, it caused a decrease in the number of larvae deposited in muscles, with a highly significant decrease in the inflammatory cell infiltrate around the larvae and a considerable decrease in the expression of the angiogenic marker vascular endothelial growth factor in muscles.","Is the triple ""Albendazole disrupts helminthiasis"" supported by the sentence: ""Additionally, compared with albendazole, it resulted in a significant reduction in adult worm and total larval counts; moreover, it caused a decrease in the number of larvae deposited in muscles, with a highly significant decrease in the inflammatory cell infiltrate around the larvae and a considerable decrease in the expression of the angiogenic marker vascular endothelial growth factor in muscles.""?",False,
16658503,Albendazole disrupts malaria,111,"Quarterly albendazole during childhood was associated with reduced incidence of clinical malaria (HR 0.85 (95% CI 0.73-0.98), p = 0.03).","Is the triple ""Albendazole disrupts malaria"" supported by the sentence: ""Quarterly albendazole during childhood was associated with reduced incidence of clinical malaria (HR 0.85 (95% CI 0.73-0.98), p = 0.03).""?",False,
13637338,Albendazole disrupts Hookworm Infections,112,CONCLUSIONS: Mebendazole and albendazole showed reduced efficacy against Ascaris lumbricoides and hookworm infections at the recommended doses.,"Is the triple ""Albendazole disrupts Hookworm Infections"" supported by the sentence: ""CONCLUSIONS: Mebendazole and albendazole showed reduced efficacy against Ascaris lumbricoides and hookworm infections at the recommended doses.""?",False,
